player_id,team_id,player_name,player_team,player_year,position_name,starting_player,height_in,weight_lbs,games_played,minutes_avg,ppg_avg,fg_percentage,3pt_percentage,ft_percentage,assist_avg,rebound_avg,steal_avg,block_avg,turnover_pg
1,1,Chet Holmgren,Gonzaga,Fr,C,Y,84,195,29,26.9,14.2,61,41.2,75.3,1.8,9.6,0.8,3.6,2
2,1,Drew Timme,Gonzaga,Jr,F,Y,82,235,29,27.4,17.5,58.8,28,69.7,2.7,6.3,0.2,0.9,2.5
3,1,Julian Strawther,Gonzaga,So,F,Y,79,205,29,26.6,12.3,52,39.6,72.1,1,5.5,0.6,0.2,0.9
4,1,Andrew Nembhard,Gonzaga,Sr,G,Y,77,193,29,31.4,11.7,46.1,36.5,87,5.7,3.2,1.6,0.1,1.8
5,1,Rasir Bolton,Gonzaga,Sr,G,Y,75,185,29,26.9,11.2,50.2,46.7,80.4,2.3,2.6,0.6,0,1.3
6,1,Anton Watson,Gonzaga,Jr,F,N,80,225,29,18.2,7.7,55.9,23.8,73.1,1.9,4.5,1.3,0.3,1.2
7,1,Nolan Hickman,Gonzaga,Fr,G,N,74,185,29,17.1,5.4,44.9,32.4,66.7,1.4,1.6,0.6,0.2,0.8
8,1,Hunter Sallis,Gonzaga,Fr,G,N,77,175,29,14.1,4.4,55.7,26.3,72.7,0.7,2.1,0.6,0.1,0.7
9,2,Paolo Banchero,Duke,Fr,F,Y,82,250,34,32.4,17,47.4,30.6,72.9,3.1,7.8,1.1,0.9,2.4
10,2,Wendell Moore Jr.,Duke,Jr,G,Y,77,213,34,33.9,13.5,50.5,40.2,78.8,4.6,5.4,1.4,0.2,2
11,2,Trevor Keels,Duke,Fr,F,Y,76,221,31,31.4,11.8,41.3,32.1,67.8,3.1,3.7,1.3,0.1,1.2
12,2,AJ Griffin,Duke,Fr,G,Y,78,222,34,23.1,10.4,50.2,46.7,75.6,1,3.8,0.6,0.5,0.6
13,2,Mark Williams,Duke,So,C,Y,84,242,34,22.9,10.9,70.7,0,73.8,0.9,7.4,0.4,2.8,0.8
14,2,Jeremy Roach,Duke,So,G,N,73,172,34,28.5,8.1,40.4,34.3,73,3,2.4,0.8,0.1,1.4
15,2,Theo John,Duke,Sr,C,N,81,242,33,11.5,2.9,58.8,0,62.5,0.5,2.5,0.5,0.9,0.5
16,2,Joey Baker,Duke,Sr,F,N,78,206,33,12.2,4.5,43.5,40.3,77.8,0.4,1.2,0.4,0,0.5
17,3,Bryson Williams,Texas Tech,Sr,F,Y,80,240,34,25.7,13.7,53.4,40.5,75.8,1,4.3,0.5,0.4,1.2
18,3,Terrence Shannon Jr.,Texas Tech,Jr,G,Y,78,215,23,24.8,10.4,44.9,37.2,79.7,2,2.8,0.9,0.1,2.1
19,3,Kevin Obanor,Texas Tech,Sr,F,Y,80,235,34,25.5,9.9,46.3,33.8,77.6,0.5,5,0.3,0.3,1.1
20,3,Kevin McCullar,Texas Tech,Jr,G,Y,78,210,26,30,9.7,38,31.3,72.8,3.2,4.9,1.4,0.3,2
21,3,Adonis Arms,Texas Tech,Sr,G,Y,77,200,34,25.5,8.4,44.7,29.9,72.9,2.6,4.2,1,0.3,1.9
22,3,Davion Warren,Texas Tech,Sr,G,N,78,205,34,24.1,9.9,46.4,30.3,70.2,1.6,3.1,1.5,0.2,1.9
23,3,Marcus Santos-Silva,Texas Tech,Sr,F,N,79,250,34,14.8,4.9,58.8,0,46.3,0.9,4.3,0.7,0.7,1.3
24,3,Clarence Nadolny,Texas Tech,Jr,G,N,75,200,31,15.1,3.7,41.6,11.1,71.2,1,1.3,1,0.2,1.2
25,3,Mylik Wilson,Texas Tech,Jr,G,N,75,175,29,15.8,2.7,44.8,16.7,63,1.8,1.9,1.2,0.6,0.9
26,3,Daniel Botcho,Texas Tech,Fr,F,N,83,235,30,10.2,2.4,63.2,0,64.9,0.4,2.8,0.2,0.6,0.5
27,4,JD Notae,Arkansas,Sr,G,Y,74,190,32,33.2,18.4,40.8,30.6,77,3.7,4.5,2.2,0.7,2.8
28,4,Au'Diese Toney,Arkansas,Sr,G,Y,78,205,32,31.8,11,52.8,30.8,80.4,0.8,5.3,0.6,0.4,1.3
29,4,Jaylin Williams,Arkansas,So,F,Y,82,240,33,31.2,10.5,47.1,23.7,72.1,2.6,9.6,1.4,1.2,1.9
30,4,Davonte Davis,Arkansas,So,G,Y,76,180,33,27.3,8.3,43.2,26.9,68.8,2.9,3.8,0.9,0,1.9
31,4,Stanley Umude,Arkansas,Sr,G,Y,78,210,33,27.1,11.8,45.9,37.1,68.4,1,4.6,1.1,0.8,1.6
32,4,Chris Lykes,Arkansas,Sr,G,N,67,160,33,18.6,8.2,35.4,29.1,86.1,1.7,1.1,1,0,1.1
33,4,Trey Wade,Arkansas,Sr,F,N,78,220,33,16.5,3.4,48.9,37.5,80,0.7,2.5,0.2,0.4,0.6
34,5,RJ Cole,Uconn,Sr,G,Y,73,185,32,33.4,15.7,41.3,33.9,85.4,4.1,3.5,1.1,0.1,1.9
35,5,Tyrese Martin,Uconn,Sr,G,Y,78,215,28,31.8,13.7,45.2,42.7,68.6,1.9,7.6,0.8,0.5,1.8
36,5,Andre Jackson,Uconn,So,G,Y,78,205,32,29.2,6.8,42.2,36.7,70.5,3.1,7,1.2,0.6,2.1
37,5,Adama Sonogo,Uconn,So,F,Y,81,240,28,29,14.9,50.6,0,68,0.9,8.9,0.8,2,2.4
38,5,Isaiah Whaley,Uconn,Sr,F,Y,81,225,31,28.3,7.6,50.8,29.4,74,1.1,4.8,0.8,2.2,1.2
39,5,Tyler Polley,Uconn,Sr,F,N,81,200,32,20.3,7.6,37.5,35.3,89.5,0.4,1.7,0.4,0.3,0.4
40,5,Jordan Hawkins,Uconn,Fr,G,N,77,175,27,14.7,5.8,35.3,33.3,82.1,0.5,2,0.3,0.3,1
41,5,Jalen Gaffney,Uconn,Jr,G,N,75,180,32,13,4.1,35.2,30.2,77.2,2,1.5,0.5,0.1,1
42,6,Jalen Shackelford,Alabama,Jr,G,Y,75,200,32,34,16.7,39.1,35.6,77.9,1.4,5.3,0.8,0.2,2
43,6,Jahvon Quinerly,Alabama,Jr,G,Y,73,175,32,30.9,14.3,41.4,28.4,74,4.3,3.1,0.7,0.2,3.1
44,6,Keon Ellis,Alabama,Sr,G,Y,78,175,32,30.7,12,43.3,35.6,88.1,1.8,6,1.9,0.6,1.6
45,6,JD Davidson,Alabama,Fr,G,Y,75,195,32,25.5,8.5,45.9,29.3,72.8,4.2,4.8,0.9,0.4,2.8
46,6,Noah Gurley,Alabama,Sr,F,Y,80,215,32,18.1,6.9,48.3,25.7,60.4,0.5,3.5,0.4,0.8,1.4
47,6,Charles Bediako,Alabama,Fr,C,N,84,225,32,17.8,6.8,69.8,0,61.2,0.7,4.4,0.7,1.6,0.9
