team_id,team_name,team_conference,p6_conference,conference_champ,tourney_seed,tourney_region,opponent_name,total_wins,total_loss,conference_wins,conference_loss,home_wins,home_loss,road/n_wins,road/n_loss,SOS,SOR,KP,NET,q1_wins,q1_loss,q2_wins,q2_loss,q3_wins,q3_loss,q4_wins,q4_loss,off_efficiencyRank,def_efficiencyRank,pace_rank,team_ppg,fg_percentage,three_percentage,ft_percentage,3PA_perGame,assists_perGame,rebounds_perGame,offReb_perGame,steals_pg,blocks_pg,turnovers_pg
1,Gonzaga,WCC,N,Y,1,West,Georgia State,26,3,13,1,16,0,10,3,59,7,1,1,10,3,2,0,1,0,13,0,1,7,11,87.8,52.7,37.9,73,22.1,18.2,41.5,9.4,6.7,5.9,11.8
2,Duke,ACC,Y,N,2,West,Cal State Fullerton,28,6,16,4,15,3,13,3,67,11,12,13,6,2,6,3,8,1,8,0,7,44,186,80.2,48.9,36.8,72.9,22.2,16.9,38.3,10.7,6.5,5.5,10.2
3,Texas Tech,Big 12,Y,N,3,West,Montana State,25,9,12,6,18,0,7,9,12,12,9,9,8,9,7,0,1,0,9,0,65,1,194,71.7,47,31.4,69.9,19,13.6,36.5,10.6,8.2,3.5,13.9
4,Arkansas,SEC,Y,N,4,West,Vermont,25,8,13,5,17,2,8,6,46,16,20,20,7,6,5,1,6,1,7,0,40,16,28,76.9,44,30.7,75.3,20.8,14.1,38.2,11.2,7.7,4.2,12.6
5,Uconn,Big East,Y,N,5,West,New Mexico State,23,9,13,6,14,2,9,7,40,22,18,16,5,6,8,3,3,0,7,0,21,35,174,75.2,43.6,35.3,75,21.1,14,40.9,14,6,6.5,11.9
6,Alabama,SEC,Y,N,6,West,TBD,19,13,9,9,13,3,6,10,1,29,25,30,8,8,5,3,5,2,1,0,14,94,10,80,44.1,30.8,73,30.1,14.6,40,13.5,7,4.7,14.6
7,Michigan State,Big Ten,Y,N,7,West,Davidson,22,12,11,9,12,3,10,9,14,23,40,36,5,9,8,2,6,1,3,0,38,53,196,72.1,45.7,37.8,74.7,19,15.8,37.1,10,5.8,5.1,13.1
8,Boise State,Mountain West,N,Y,8,West,Memphis,27,7,15,3,13,3,14,4,86,37,26,29,6,3,7,3,7,0,6,1,76,17,329,68.7,44.8,34.8,64.9,21.2,11.5,35,10.2,5.9,3.5,12.1
9,Memphis,AAC,N,N,9,West,Boise State,21,10,13,5,13,2,8,8,77,39,28,31,5,3,3,4,8,2,5,0,50,31,47,75.4,47.1,35.9,69.2,17.6,16.1,38.7,12.5,8.7,5.7,16.4
10,Davidson,A10,N,N,10,West,Michigan State,27,6,15,3,13,1,14,5,135,35,41,38,2,2,4,2,9,1,11,0,11,152,324,75.6,48.1,38.6,75.7,22.8,14.7,34.2,7.4,4.7,2.6,9.8
11,Rutgers,Big Ten,Y,N,11,West,Notre Dame/Bama,18,13,12,8,14,3,4,10,34,52,74,77,6,6,3,4,4,2,5,1,107,43,296,67.9,44.3,33.6,70.1,18.1,15,35.4,10.1,7.2,3.9,11.5
12,Notre Dame,ACC,Y,N,11,West,Rutgers/Bama,22,10,15,5,14,1,8,9,68,38,52,53,2,8,2,1,11,1,6,0,29,84,306,72.5,46.2,38,75.8,24.1,14.2,34.1,7.2,5.1,1.9,10.3
13,New Mexico State,Western Atheltic,N,Y,12,West,Uconn,26,6,14,4,13,2,13,4,172,70,81,79,2,0,4,2,9,2,8,2,87,73,207,73.3,45.7,32.6,69.8,24,13.9,38.5,11.3,5.1,4.2,14
14,Vermont,America East,N,Y,13,West,Arkansas,28,5,17,1,16,0,12,5,335,71,59,52,0,1,1,1,7,2,19,1,44,74,331,74.9,49.3,36.4,74.7,24,15.2,35.1,7.3,5.2,2.5,9.7
15,Montana State,Big Sky,N,Y,14,West,Texas Tech,27,7,16,4,13,1,14,6,342,114,125,120,0,2,0,0,5,3,20,2,147,129,120,77,47.5,36.9,75.3,20.7,13.2,35.4,8.7,5.2,3.7,12.8
16,Cal State Fullerton,Big West,N,Y,15,West,Duke,21,10,11,4,11,2,10,8,257,147,149,153,0,2,1,1,7,3,11,4,144,164,290,70.3,44.7,33,76.3,16.7,11.3,33.5,9.7,7.3,2,12.3
17,Georgia State,Sun Belt,N,Y,16,West,Gonzaga,18,10,9,5,8,4,10,6,251,139,151,159,0,1,0,1,7,6,8,2,201,114,156,70.6,40.3,32.9,71.7,23.4,13.5,37.3,13.3,8.9,4.5,11.9
18,Arizona,Pac 12,Y,Y,1,South,TBD,31,3,18,2,17,0,14,3,62,2,2,2,6,3,8,0,9,0,7,0,5,20,19,84.6,49.6,35.4,73.8,21.9,19.9,41.4,11.4,6.7,5.7,13.2
19,Villanova,Big East,Y,Y,2,South,Delaware,26,7,16,4,12,1,14,6,16,8,11,7,7,6,10,1,4,0,5,0,8,28,339,72.6,43.7,35.9,82.3,25.9,12.1,34.9,10.2,6.2,2.3,10
20,Tennessee,SEC,Y,Y,3,South,Longwood,26,7,14,4,16,0,10,7,4,3,7,8,10,7,5,0,4,0,6,0,36,3,147,73.2,43,35.9,71.2,24.4,16.1,37.2,11.9,9.3,4.4,12.4
21,Illinois,Big Ten,Y,N,4,South,Chattanooga,22,9,15,5,13,3,9,6,21,18,17,15,6,6,6,3,6,0,4,0,23,30,170,75.8,45.3,36.7,70.8,25.1,15.4,38.6,11.6,5.3,3,12.2
22,Houston,AAC,N,Y,5,South,UAB,29,5,15,3,16,1,13,4,102,14,4,3,0,4,10,1,10,0,8,0,10,11,287,75.8,46.9,34.1,66.9,23.5,16.7,39.2,13.4,8.2,5.2,11.3
23,Colorado State,Mountain West,N,N,6,South,Michigan,25,5,14,4,14,1,11,4,81,27,31,28,5,3,8,1,3,1,8,0,20,83,321,73.7,48.5,35.8,77.4,21.3,14.2,31.9,6.6,6.3,3.2,10.1
24,Ohio State,Big Ten,Y,N,7,South,Loyola Chicago,19,11,12,8,13,3,6,8,25,32,32,26,5,5,5,5,6,1,3,0,13,131,311,73.8,47.4,37.3,76,21.7,12.8,34.4,8.8,4.4,4.8,11
25,Seton Hall,Big East,Y,N,8,South,TCU,21,10,11,8,13,3,8,7,28,31,35,37,6,7,3,3,8,0,3,0,75,26,161,72.9,42.3,34,75.7,21.6,10.4,38.9,12.2,7,5.5,12
26,TCU,Big 12,Y,N,9,South,Seton Hall,20,12,8,10,12,4,8,8,10,28,38,45,8,8,2,4,4,0,6,0,80,24,263,68.1,44.1,30.4,66.8,18.3,13.6,38.8,13,6.3,4.2,14.5
27,Loyola Chicago,Missouri Valley,N,Y,10,South,Ohio State,25,7,13,5,12,2,13,5,112,45,24,23,3,2,4,4,7,1,9,0,42,22,284,73.8,48.3,38.3,71.9,23.3,15,33.9,7.8,6.9,2.4,12.2
28,Michigan,Big Ten,Y,N,11,South,Colorado State,17,14,11,9,10,5,7,9,7,47,33,34,5,10,3,3,6,1,3,0,19,91,261,73,46.8,34,74.6,18.7,14.2,35.5,10,4.8,3.1,11.5
29,UAB,Conference USA,N,Y,12,South,Houston,27,7,14,4,16,2,11,5,182,64,46,46,2,1,3,2,8,3,12,1,28,89,58,80.7,46.8,37.9,73.8,21,13,38.4,12.2,9.6,4.3,11.5
30,Chattanooga,Southern,N,Y,13,South,Illinois,27,7,14,4,12,3,15,4,180,57,59,64,1,2,3,0,11,2,10,3,58,95,299,74.8,46.9,34.6,75.2,23.1,13,35.9,10.6,7.2,2.2,11
31,Longwood,Big South,N,Y,14,South,Tennessee,26,6,15,1,16,1,10,5,348,102,144,126,0,1,0,1,4,2,17,2,115,191,227,76.3,45.4,38,72.4,21.6,14,37.3,12.2,7.8,2.4,12
